19,39, Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
25,42, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Kovan MRT Station
25,35, Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station
25,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Eunos MRT Station
25,36, Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,  Eunos MRT Station
25,48, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Kovan MRT Station
25,47, Marymount MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station,  Eunos MRT Station
25,40, Marymount MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Eunos MRT Station
25,36, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Eunos MRT Station
25,36, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Marymount MRT Station,  Serangoon MRT Station
25,38, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Marymount MRT Station,  Eunos MRT Station
25,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
26,35, Yio Chu Kang MRT Station, Kovan MRT Station,  Dakota MRT Station
26,47, Toa Payoh MRT Station,  Bishan MRT Station,  Kovan MRT Station, Kembangan MRT Station
26,49, Yio Chu Kang MRT Station,  Bishan MRT Station,  Kovan MRT Station, Kembangan MRT Station
26,35, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kembangan MRT Station
26,44, Bishan MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station, Kembangan MRT Station
26,43, Ang Mo Kio MRT Station,  Bishan MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,37, Yio Chu Kang MRT Station,  Bishan MRT Station,  Serangoon MRT Station, Kembangan MRT Station
26,36, Bishan MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,38, Bishan MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,48, Toa Payoh MRT Station,  Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,48, Yio Chu Kang MRT Station,  Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
