" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", "'Kembangan MRT Station'",47
" 'Clementi MRT Station'", " 'Bukit Panjang MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",42
" 'Bukit Panjang MRT Station'", " 'Clementi MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",42
" 'Bukit Panjang MRT Station'", " 'Clementi MRT Station'", " 'Jurong East MRT Station'", "'Kembangan MRT Station'",47
" 'Clementi MRT Station'", " 'Bukit Panjang MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",45
" 'Clementi MRT Station'", " 'Bukit Panjang MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",43
" 'Choa Chu Kang MRT Station'", " 'Clementi MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",43
" 'Clementi MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", "'Kembangan MRT Station'",45
" 'Clementi MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",50
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Choa Chu Kang MRT Station'", "'Kembangan MRT Station'",50
" 'Choa Chu Kang MRT Station'", " 'Clementi MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",44
" 'Choa Chu Kang MRT Station'", " 'Clementi MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",44
" 'Choa Chu Kang MRT Station'", " 'Clementi MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",47
" 'Choa Chu Kang MRT Station'", " 'Clementi MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",45
" 'Pioneer MRT Station'", " 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", "'Kembangan MRT Station'",55
" 'Pioneer MRT Station'", " 'Clementi MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",49
" 'Pioneer MRT Station'", " 'Clementi MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",39
" 'Pioneer MRT Station'", " 'Clementi MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",42
" 'Pioneer MRT Station'", " 'Clementi MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",40
" 'Yew Tee MRT Station'", " 'Clementi MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",42
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",41
" 'Clementi MRT Station'", " 'Toa Payoh MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",42
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",31
" 'Clementi MRT Station'", " 'Toa Payoh MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",33
" 'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",35
" 'Clementi MRT Station'", " 'Toa Payoh MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",36
" 'Clementi MRT Station'", " 'Marymount MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",34
" 'Yew Tee MRT Station'", " 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", "'Kembangan MRT Station'",59
" 'Clementi MRT Station'", " 'Yew Tee MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",50
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Yew Tee MRT Station'", "'Kembangan MRT Station'",44
" 'Yew Tee MRT Station'", " 'Clementi MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",43
" 'Yew Tee MRT Station'", " 'Clementi MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",43
" 'Yew Tee MRT Station'", " 'Clementi MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",46
