['Hougang MRT Station', 'Buangkok MRT Station', 'Sengkang MRT Station', 'Punggol MRT Station', 104]
['Yio Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station', 'Bishan MRT Station', 'Toa Payoh MRT Station', 'Serangoon MRT Station', 63]
['Yew Tee MRT Station', 'Choa Chu Kang MRT Station', 'Bukit Panjang MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station', 84]
['Pioneer MRT Station', 'Chinese Garden MRT Station', 'Jurong East MRT Station', 'Clementi MRT Station', 'Woodlands MRT Station', 'Admiralty MRT Station', 142]
['Kovan MRT Station', 'Dakota MRT Station', 'Eunos MRT Station', 'Kembangan MRT Station', 45]
