" 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",48
"'Clementi MRT Station'", " 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Serangoon MRT Station'",51
" 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",50
" 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Serangoon MRT Station'",45
" 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",44
" 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",43
" 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",48
" 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",45
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",44
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",46
" 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",50
"'Clementi MRT Station'", " 'Pioneer MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Serangoon MRT Station'",53
" 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",52
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Serangoon MRT Station'",46
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",45
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",44
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",49
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",46
" 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",45
" 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", " 'Serangoon MRT Station'",50
" 'Pioneer MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",51
" 'Bukit Panjang MRT Station'", " 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",52
" 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",44
" 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",45
" 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'",45
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'",47
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'",44
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",44
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Somerset MRT Station'",47
" 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'",46
" 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'",49
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'",47
" 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",49
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'",51
" 'Jurong East MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'",44
" 'Pioneer MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'",53
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",51
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", " 'Somerset MRT Station'",57
" 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'",51
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",46
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",47
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'",49
