46,36, Pioneer MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
46,36, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Somerset MRT Station
46,35, Yew Tee MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
46,35,Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Serangoon MRT Station
47,38,Clementi MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station
47,36, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Clementi MRT Station,  Serangoon MRT Station
47,38, Pioneer MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station
47,39,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Somerset MRT Station
47,37,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station
47,39,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
47,35, Jurong East MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station, Woodlands MRT Station
47,38,Woodlands MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Serangoon MRT Station
47,35,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
47,35, Chinese Garden MRT Station,  Pioneer MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station
47,37, Pioneer MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station
47,35,Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station
47,37, Pioneer MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
47,35, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Somerset MRT Station,  Serangoon MRT Station
47,35, Yew Tee MRT Station, Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Somerset MRT Station,  Serangoon MRT Station
47,36, Yew Tee MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Somerset MRT Station
48,36,Clementi MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station
48,36,Clementi MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station
48,36, Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station, Clementi MRT Station,  Beauty World MRT Station
48,36, Woodlands MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station, Clementi MRT Station,  Beauty World MRT Station
48,35,Clementi MRT Station,  Beauty World MRT Station,  Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station
48,36, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station, Clementi MRT Station,  Beauty World MRT Station
48,36, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Clementi MRT Station,  Somerset MRT Station,  Serangoon MRT Station
48,38,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Somerset MRT Station,  Serangoon MRT Station
48,36,Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
48,36,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Beauty World MRT Station,  Somerset MRT Station
48,35,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Somerset MRT Station,  Serangoon MRT Station
48,35, Jurong East MRT Station,  Pioneer MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station
48,36, Pioneer MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station,  Serangoon MRT Station
48,36, Pioneer MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
48,35, Yew Tee MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Somerset MRT Station,  Serangoon MRT Station
48,35, Pioneer MRT Station,  Chinese Garden MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
49,38, Woodlands MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Clementi MRT Station,  Somerset MRT Station
49,36,Clementi MRT Station,  Pioneer MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station
49,36, Yew Tee MRT Station,  Bukit Panjang MRT Station, Clementi MRT Station,  Somerset MRT Station,  Serangoon MRT Station
49,36, Pioneer MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station
49,36, Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
49,37,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station
49,38,Woodlands MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
49,37,Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station,  Somerset MRT Station
49,35,Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Jurong East MRT Station,  Somerset MRT Station
49,35,Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station,  Jurong East MRT Station,  Beauty World MRT Station
49,35,Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station
49,37, Pioneer MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
49,36, Pioneer MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Serangoon MRT Station
50,38,Clementi MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station
50,38,Clementi MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Woodlands MRT Station
50,36, Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station, Clementi MRT Station,  Somerset MRT Station
50,37,Clementi MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station,  Serangoon MRT Station
50,36, Woodlands MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station, Clementi MRT Station,  Somerset MRT Station
50,36, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station, Clementi MRT Station,  Somerset MRT Station
50,36, Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station, Clementi MRT Station,  Beauty World MRT Station
50,35, Pioneer MRT Station, Clementi MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station,  Serangoon MRT Station
50,36, Jurong East MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
50,37,Woodlands MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station
50,39,Woodlands MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
50,36,Woodlands MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
50,35,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Serangoon MRT Station
50,36, Pioneer MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station,  Serangoon MRT Station
50,35, Pioneer MRT Station,  Jurong East MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
51,36,Clementi MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Woodlands MRT Station
51,36,Clementi MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Woodlands MRT Station
51,35,Clementi MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station,  Serangoon MRT Station
51,35,Clementi MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station,  Serangoon MRT Station
51,35,Clementi MRT Station,  Pioneer MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Serangoon MRT Station
51,36, Pioneer MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Clementi MRT Station,  Somerset MRT Station
51,37,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Somerset MRT Station
51,37, Pioneer MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
51,36, Pioneer MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station
51,38,Woodlands MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Somerset MRT Station,  Serangoon MRT Station
51,36, Pioneer MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station
51,36,Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Somerset MRT Station,  Serangoon MRT Station
51,37,Woodlands MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Somerset MRT Station
51,35,Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station,  Chinese Garden MRT Station,  Somerset MRT Station
51,35,Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Jurong East MRT Station,  Beauty World MRT Station
52,37, Pioneer MRT Station, Clementi MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station
52,35, Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station, Clementi MRT Station,  Somerset MRT Station
52,35, Woodlands MRT Station,  Choa Chu Kang MRT Station,  Beauty World MRT Station, Clementi MRT Station,  Somerset MRT Station
52,36, Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station, Clementi MRT Station,  Somerset MRT Station
52,35, Bukit Panjang MRT Station,  Pioneer MRT Station, Clementi MRT Station,  Somerset MRT Station,  Serangoon MRT Station
52,37,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Somerset MRT Station
52,36, Pioneer MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station, Woodlands MRT Station
52,36, Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station, Woodlands MRT Station,  Serangoon MRT Station
52,37,Woodlands MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station
52,35, Pioneer MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
52,36,Woodlands MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Somerset MRT Station,  Serangoon MRT Station
52,35,Woodlands MRT Station,  Yew Tee MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Serangoon MRT Station
52,35,Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station,  Jurong East MRT Station,  Somerset MRT Station
52,35, Pioneer MRT Station,  Chinese Garden MRT Station, Bukit Panjang MRT Station,  Yew Tee MRT Station,  Somerset MRT Station
53,37,Clementi MRT Station,  Pioneer MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station
53,38, Woodlands MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Clementi MRT Station,  Somerset MRT Station
53,35, Pioneer MRT Station, Clementi MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station
53,35, Pioneer MRT Station, Clementi MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station
53,37, Woodlands MRT Station,  Bukit Panjang MRT Station, Clementi MRT Station,  Somerset MRT Station,  Serangoon MRT Station
53,35,Clementi MRT Station,  Pioneer MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Serangoon MRT Station
53,38, Pioneer MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station
53,37, Pioneer MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
53,36, Jurong East MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station, Woodlands MRT Station,  Serangoon MRT Station
53,36, Pioneer MRT Station,  Jurong East MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station
53,35,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Beauty World MRT Station
54,37,Clementi MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station,  Serangoon MRT Station
54,35, Woodlands MRT Station,  Yew Tee MRT Station,  Beauty World MRT Station, Clementi MRT Station,  Somerset MRT Station
54,37,Woodlands MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Somerset MRT Station
54,36, Pioneer MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station, Woodlands MRT Station
54,35, Pioneer MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
54,35,Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Jurong East MRT Station,  Somerset MRT Station
55,37,Clementi MRT Station,  Pioneer MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station
55,38, Woodlands MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station, Clementi MRT Station,  Somerset MRT Station
55,37,Woodlands MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Jurong East MRT Station,  Somerset MRT Station
56,37,Clementi MRT Station,  Yew Tee MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station,  Serangoon MRT Station
56,38,Woodlands MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Beauty World MRT Station
56,37, Pioneer MRT Station,  Beauty World MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Serangoon MRT Station
56,35,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Somerset MRT Station
56,35,Woodlands MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station,  Beauty World MRT Station,  Somerset MRT Station
57,37, Woodlands MRT Station,  Bukit Panjang MRT Station,  Pioneer MRT Station, Clementi MRT Station,  Somerset MRT Station
57,38,Woodlands MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Pioneer MRT Station,  Somerset MRT Station
58,36,Clementi MRT Station,  Pioneer MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station,  Serangoon MRT Station
58,36,Woodlands MRT Station,  Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Pioneer MRT Station,  Somerset MRT Station
58,38,Woodlands MRT Station,  Bukit Panjang MRT Station,  Pioneer MRT Station,  Beauty World MRT Station,  Somerset MRT Station
59,38,Woodlands MRT Station,  Bukit Panjang MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Somerset MRT Station
59,37,Woodlands MRT Station,  Bukit Panjang MRT Station,  Pioneer MRT Station,  Somerset MRT Station,  Serangoon MRT Station
59,36,Woodlands MRT Station,  Bukit Panjang MRT Station,  Pioneer MRT Station,  Jurong East MRT Station,  Somerset MRT Station
59,35,Woodlands MRT Station,  Yew Tee MRT Station,  Pioneer MRT Station,  Beauty World MRT Station,  Somerset MRT Station
