Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,24 min,29 min,59 min,27 min,38 min,1 h,32 min,18 min,20 min,36 min,1 h 1 m,38 min,49 min,51 min,32 min,38 min,33 min,17 min,41 min,27 min,20 min,41 min,32 min,43 min,1 h 1 m,27 min,Error,5 min,36 min,33 min,28 min,13 min,45 min,1 h 16 m,46 min,27 min,Error,35 min,33 min,48 min,19 min,37 min,1 h 5 m,27 min,51 min,Error,34 min,22 min,34 min,32 min,47 min,50 min,57 min,20 min,42 min,16 min,34 min,17 min,23 min,21 min,30 min,31 min,1 h 6 m,37 min,1 h 1 m,22 min,35 min,Sorry,16 min,40 min,24 min,23 min,Sorry,60 min,31 min,49 min,11 min,27 min,40 min,9 min,30 min,57 min,Error,5 min,56 min,43 min,39 min,29 min,33 min,15 min,1 h 3 m,31 min,52 min,35 min,54 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,35 min,44 min,36 min,57 min,Sorry,Sorry,36 min,7 min,Sorry,1 h 4 m,22 min,1 h 6 m,Sorry,37 min,22 min,40 min,36 min,31 min,37 min,41 min,26 min,34 min,30 min,55 min,29 min,24 min,55 min,53 min,Sorry,38 min,30 min,Sorry,1 h 18 m,25 min,Error,32 min,47 min,41 min,37 min,23 min,Sorry,47 min,1 h 14 m,Error,37 min,28 min,12 min,27 min,30 min,41 min,Sorry,14 min,33 min,Sorry,42 min,22 min,48 min,29 min,Sorry,58 min,52 min,33 min,Sorry,20 min,39 min,55 min,34 min,24 min,42 min,28 min,57 min,45 min,17 min,56 min,29 min,Sorry,35 min,20 min,24 min,50 min,24 min,50 min,28 min,24 min,48 min,Sorry,8 min,Sorry,14 min,Sorry,25 min,49 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,1 h 4 m,Error,5 min,1 h 1 m,Sorry,37 min,34 min,28 min,1 h 2 m,42 min,10 min,45 min,45 min,7 min,9 min,42 min,30 min,13 min,6 min,36 min,10 min,Error,6 min,27 min,58 min,11 min,29 min,20 min,48 min,58 min,29 min,53 min,Sorry,42 min,12 min,Error,30 min,38 min,49 min,45 min,46 min,1 h 7 m,35 min,Sorry,Error,10 min,9 min,43 min,27 min,14 min,26 min,1 h 11 m,33 min,13 min,15 min,8 min,16 min,40 min,13 min,13 min,37 min,48 min,25 min,1 h 13 m,21 min,6 min,Sorry,27 min,8 min,22 min,8 min,1 h 21 m,1 h 5 m,32 min,49 min,37 min,8 min,15 min,19 min,30 min,43 min,32 min,42 min,Sorry,11 min,29 min,23 min,24 min,Sorry,26 min,Sorry,47 min,58 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Sorry,Sorry,Sorry,Sorry,Sorry,47 min,Sorry,27 min,1 h 11 m,Sorry,Sorry,Sorry,1 h 9 m,1 h 31 m,Sorry,52 min,Sorry,Sorry,Sorry,Sorry,43 min,Sorry,51 min,Sorry,1 h 22 m,Sorry,Sorry,Sorry,7 min,Sorry,Sorry,55 min,Error,44 min,Sorry,29 min,1 h 11 m,14 min,48 min,Sorry,Sorry,Error,53 min,56 min,35 min,42 min,Sorry,Sorry,44 min,47 min,55 min,Sorry,1 h 2 m,Sorry,Sorry,Sorry,1 h 17 m,Sorry,28 min,46 min,Sorry,33 min,Sorry,14 min,Sorry,Sorry,Sorry,51 min,40 min,7 min,24 min,53 min,1 h 9 m,1 h 6 m,57 min,59 min,31 min,24 min,1 h 3 m,1 h 4 m,Sorry,Sorry,Sorry,Sorry,56 min,35 min,29 min,Sorry,Sorry,32 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,11 min,25 min,32 min,36 min,23 min,1 h 21 m,54 min,14 min,26 min,1 h 2 m,57 min,20 min,34 min,1 h 21 m,57 min,25 min,Sorry,1 h 2 m,41 min,1 h 11 m,42 min,38 min,48 min,34 min,18 min,37 min,Sorry,46 min,20 min,39 min,Error,42 min,32 min,1 h 14 m,20 min,1 h 8 m,53 min,39 min,22 min,Error,1 h 3 m,51 min,55 min,43 min,1 h 10 m,Sorry,37 min,45 min,1 h 19 m,45 min,1 h 3 m,31 min,32 min,53 min,54 min,42 min,1 h 5 m,49 min,36 min,32 min,1 h 2 m,Sorry,37 min,Sorry,45 min,54 min,Sorry,1 h 27 m,1 h 5 m,1 h 3 m,25 min,54 min,1 h 15 m,38 min,41 min,57 min,29 min,50 min,Sorry,Sorry,41 min,51 min,29 min,1 h 10 m,43 min,Sorry,1 h 1 m,1 h 20 m
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,14 min,52 min,41 min,19 min,1 h 46 m,Sorry,24 min,16 min,Sorry,Sorry,28 min,51 min,58 min,Sorry,30 min,Sorry,Sorry,49 min,Sorry,57 min,37 min,Sorry,48 min,18 min,45 min,1 h 2 m,53 min,25 min,47 min,Error,49 min,60 min,48 min,25 min,56 min,37 min,1 h 1 m,29 min,Error,53 min,44 min,45 min,48 min,1 h 14 m,Sorry,26 min,40 min,60 min,38 min,Sorry,45 min,Sorry,37 min,Sorry,56 min,Sorry,56 min,43 min,40 min,Sorry,57 min,45 min,Sorry,1 h 21 m,45 min,59 min,57 min,49 min,1 h 12 m,30 min,43 min,58 min,43 min,48 min,Sorry,30 min,Sorry,Sorry,Sorry,1 h 3 m,1 h 22 m,38 min,32 min,51 min,26 min,1 h 5 m,43 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,52 min,45 min,Error,8 min,Sorry,41 min,23 min,12 min,37 min,39 min,38 min,51 min,1 h 18 m,32 min,41 min,53 min,46 min,59 min,Sorry,1 h,39 min,1 h 2 m,54 min,11 min,49 min,1 h 13 m,53 min,29 min,50 min,Error,1 h 1 m,46 min,49 min,25 min,1 h 10 m,28 min,53 min,30 min,Error,1 h 7 m,37 min,58 min,51 min,60 min,Sorry,15 min,44 min,1 h 18 m,31 min,1 h 6 m,60 min,46 min,26 min,47 min,1 h 5 m,1 h 3 m,1 h 20 m,40 min,43 min,49 min,51 min,49 min,1 h 22 m,57 min,37 min,45 min,51 min,1 h 11 m,Sorry,29 min,33 min,1 h 20 m,19 min,52 min,1 h 6 m,26 min,1 h 18 m,Sorry,47 min,55 min,1 h 6 m,41 min,26 min,54 min,14 min,56 min,37 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,40 min,41 min,1 h 27 m,33 min,28 min,55 min,35 min,37 min,14 min,6 min,46 min,30 min,7 min,22 min,35 min,58 min,1 h 33 m,38 min,11 min,31 min,18 min,36 min,8 min,1 h 31 m,1 h 7 m,29 min,46 min,Error,1 h 1 m,6 min,Sorry,25 min,Sorry,54 min,23 min,40 min,Error,44 min,35 min,54 min,44 min,26 min,53 min,53 min,42 min,52 min,29 min,46 min,35 min,5 min,26 min,31 min,35 min,Sorry,56 min,54 min,35 min,35 min,Sorry,9 min,23 min,14 min,36 min,Sorry,Sorry,1 h 1 m,Sorry,20 min,27 min,53 min,22 min,51 min,1 h 9 m,24 min,1 h 17 m,16 min,21 min,24 min,25 min,34 min,60 min,44 min,1 h,Sorry,Sorry
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,45 min,1 h 8 m,34 min,46 min,39 min,27 min,31 min,39 min,34 min,41 min,29 min,51 min,39 min,32 min,34 min,58 min,21 min,22 min,46 min,58 min,40 min,30 min,37 min,1 h 13 m,48 min,29 min,Error,29 min,46 min,38 min,31 min,30 min,54 min,49 min,48 min,Error,32 min,21 min,19 min,31 min,45 min,48 min,Sorry,10 min,40 min,17 min,32 min,14 min,47 min,23 min,39 min,1 h,52 min,38 min,1 h 6 m,23 min,31 min,1 h 5 m,36 min,34 min,32 min,21 min,55 min,47 min,24 min,54 min,28 min,27 min,38 min,15 min,31 min,49 min,22 min,37 min,39 min,34 min,51 min,35 min,9 min,59 min,24 min,48 min,25 min,44 min
