Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.12,$1.2,$1.62,$1.62
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.33,$1.33,$1.33
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.58,Error,$0.79
Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,$3.20,$1.58,$1.8,Not Available,Not Available,Not Available,$1.66,$1.88,Not Available,$2.60,$1.7,Not Available,$1.83,$1.93,Not Available,Not Available,Not Available,Not Available,$1.66,Not Available,$2.01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,$2.40,Not Available,$1.9,Not Available,Not Available,Not Available,Not Available,Not Available,$1.92,Not Available,Not Available,$2.40,Error,Not Available,Not Available,$1.2,$2.90,Not Available,$1.60,Not Available,Not Available,Error,$1.9,$1.92,$1.66,$1.93,Not Available,Not Available,$0.80,$1.66,Not Available,$1.77,$1.60,$1.77,Not Available,Not Available,Not Available,Not Available,$1.9,$2.60,Not Available,$1.86,Not Available,$1.77,Not Available,Not Available,Not Available,$1.92,$0.9,$1.8,$1.74,Not Available,$1.60,Not Available,Not Available,Not Available,$1.92,$1.92,$2.70,Not Available,Not Available,Not Available,Not Available,Not Available,$2.70,$0.80,$1.9,Not Available,$1.46,$1.12
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.33,$1.33,$1.33,$1.54,Not Available,Not Available,$1.38,$0.80,Not Available,$2.46,$0.79,$1.62,Not Available,$1.33,$0.79,$1.58,$1.33,$1.27,$2.10,$1.5,$0.79,$1.33,$1.27,$2.26,$1.12,$1.2,$1.62,$1.62,Not Available,$1.5,$1.33,Not Available,$1.86,$1.12,Error,$1.27,$1.54,$1.46,$1.33,$1.2,Not Available,$1.46,$2.50,Error,$1.2,$1.2,$0.9,$1.90,$0.79,$1.33,Not Available,$0.79,$1.27,Not Available,$1.33,$0.9,$2.00,$1.2,Not Available,$1.50,$1.66,$1.27,Not Available,$0.79,$1.38,$3.30,$1.42,$0.79,$2.10,$1.27,$1.62,$1.42,$1.01,$2.3,$1.27,Not Available,$1.27,$1.01,$1.2,$1.62,$1.2,$2.14,$0.79,$0.79,$1.5,Not Available,$0.80,Not Available,$1.01,Not Available,$1.27,$1.58
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.58,Error,$0.79,$1.62,Not Available,$1.62,$1.33,$1.12,$1.62,$1.8,$0.79,$2.43,$1.74,$0.00,$0.79,$1.42,$1.27,$1.01,$0.00,$1.38,$0.79,Error,$0.80,$1.2,$1.54,$0.79,$1.2,$1.2,$1.5,$1.58,$1.2,$1.5,Not Available,$2.37,$0.79,Error,$1.27,$1.42,$0.80,$1.42,$1.42,$1.83,$1.33,Not Available,Error,$0.79,$0.79,$1.33,$1.12,$1.5,$0.80,$1.88,$1.2,$1.01,$0.9,$0.79,$0.9,$1.42,$0.79,$0.9,$1.42,$2.5,$1.12,$2.55,$1.01,$0.79,Not Available,$1.2,$0.80,$1.01,$0.79,$0.80,$1.66,$1.2,$2.40,$1.33,$0.79,$0.9,$0.80,$1.33,$2.37,$1.27,$1.46,Not Available,$0.79,$1.27,$1.01,$1.12,Not Available,$1.12,Not Available,$1.42,$1.77
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Not Available,Not Available,Not Available,Not Available,Not Available,$1.46,Not Available,$1.7,$1.70,Not Available,Not Available,Not Available,$1.60,$1.88,Not Available,$1.5,Not Available,Not Available,Not Available,Not Available,$2.10,Not Available,$1.42,Not Available,$1.8,Not Available,Not Available,Not Available,$0.79,Not Available,Not Available,$2.00,Error,$1.46,Not Available,$1.58,$2.40,$1.01,$1.88,Not Available,Not Available,Error,$1.42,$1.46,$1.2,$1.30,Not Available,Not Available,$1.83,$1.42,$1.5,Not Available,$2.20,Not Available,Not Available,Not Available,$1.66,Not Available,$1.38,$1.42,Not Available,$1.33,Not Available,$0.9,Not Available,Not Available,Not Available,$1.46,$1.74,$0.79,$1.12,$1.58,$1.7,$2.30,$1.90,$1.58,$1.2,$1.46,$1.66,$1.7,Not Available,Not Available,Not Available,Not Available,$1.54,$1.77,$1.27,Not Available,Not Available,$1.62
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$0.80,$1.12,$1.38,$2.18,$0.9,$2.63,$1.7,$0.79,$1.01,$1.66,$1.74,$1.01,$1.42,$1.60,$1.58,$1.33,Not Available,$1.66,$2.46,$2.57,$2.26,$1.38,$1.62,$1.46,$0.80,$1.33,Not Available,$1.5,$1.5,$2.4,Error,$2.5,$1.42,$1.83,$1.01,$2.80,$1.46,$1.54,$1.12,Error,$1.62,$1.5,$1.66,$2.37,$0.80,Not Available,$1.54,$1.58,$1.60,$1.46,$2.00,$2.22,$1.38,$1.54,$1.66,$1.54,$2.58,$2.4,$1.38,$2.3,$1.7,Not Available,$1.5,Not Available,$1.54,$1.54,Not Available,$1.60,$1.80,$4.40,$1.12,$1.58,$1.66,$1.38,$2.37,$2.56,$1.27,$2.54,Not Available,Not Available,$1.58,$1.62,$2.22,$1.7,$2.3,Not Available,$1.66,$1.86
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$0.79,$1.42,$1.5,$1.01,$2.07,Not Available,$0.9,$0.9,Not Available,Not Available,$1.2,$1.46,$1.70,Not Available,$1.2,Not Available,Not Available,$1.8,Not Available,$1.66,$1.27,Not Available,$1.46,$1.60,$1.42,$1.83,$1.5,$0.9,$1.7,Error,$1.83,$1.60,$1.97,$1.01,$1.77,$1.33,$1.58,$1.01,Error,$1.60,$1.7,$1.66,$1.7,$1.60,Not Available,$1.46,$1.54,$1.60,$1.66,Not Available,$1.46,Not Available,$1.7,Not Available,$1.54,Not Available,$1.74,$1.33,$1.58,Not Available,$4.10,$3.40,Not Available,$1.60,$1.74,$1.8,$1.99,$1.7,$3.60,$1.12,$1.74,$1.88,$1.58,$1.7,Not Available,$1.27,Not Available,Not Available,Not Available,$1.62,$1.60,$1.46,$1.54,$1.58,$0.9,$1.66,$1.7
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.46,$1.54,Error,$0.79,Not Available,$1.7,$1.2,$0.79,$1.66,$1.66,$1.42,$1.5,$1.60,$1.62,$1.46,$1.77,$0.80,$2.52,Not Available,$1.62,$1.42,$1.7,$1.58,$0.79,$1.46,$2.70,$1.62,$1.27,$1.77,Error,$2.52,$1.5,$1.60,$1.12,$2.80,$1.12,$1.62,$1.27,Error,$1.66,$1.58,$1.7,$1.77,$1.77,Not Available,$1.33,$1.58,$1.60,$1.54,$1.62,$1.5,$1.5,$1.54,$1.74,$1.62,$2.03,$1.8,$1.42,$1.66,$0.80,$1.98,$1.58,$0.80,$1.62,$1.62,$1.7,$1.97,$1.60,Not Available,$1.27,$1.58,$0.80,$1.46,$1.77,$2.04,$1.58,$2.59,Not Available,$1.7,$1.66,$1.66,$1.54,$1.46,$1.66,$0.9,$1.74,$1.62
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.27,$1.54,$1.98,$1.38,$1.33,$1.7,$1.33,$1.38,$0.79,$0.79,$1.74,$1.27,$0.79,$0.79,$1.33,$1.8,$2.90,$1.42,$0.9,$1.27,$1.01,$1.42,$0.79,$1.88,$1.8,$1.33,$1.54,Error,$1.83,$0.79,Not Available,$1.2,Not Available,$1.86,$1.12,$1.38,Error,$1.46,$1.33,$1.62,$1.58,$0.80,$1.60,$1.8,$1.38,$1.62,$1.27,$1.5,$1.33,$0.79,$1.12,$1.27,$1.80,Not Available,$1.77,$1.62,$1.5,$1.38,Not Available,$0.79,$0.79,$0.9,$1.38,Not Available,Not Available,$1.7,Not Available,$1.01,$1.2,$1.54,$1.12,$1.58,$2.55,$0.9,$1.86,$0.79,$0.79,$1.12,$1.01,$1.27,$1.86,$1.54,$1.74,Not Available,Not Available
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$2.34,$2.46,$1.27,$2.3,$1.7,$1.2,$1.2,$1.5,$1.2,$1.27,$1.12,$1.46,$1.33,$1.12,$1.8,$2.26,$1.01,$1.01,$1.46,$2.10,$2.3,$1.2,$1.27,$2.55,$2.37,$1.01,Error,$1.46,$1.46,$1.38,$1.38,$1.12,$3.20,$1.46,$2.37,Error,$1.2,$1.01,$0.79,$1.01,$1.38,$1.5,Not Available,$0.79,$1.38,$0.9,$1.2,$0.79,$1.33,$1.01,$1.27,$2.30,$2.26,$1.33,$4.20,$0.79,$1.33,$2.60,$1.38,$1.2,$1.33,$1.12,$0.80,$1.5,$0.9,$1.8,$1.12,$1.12,$1.38,$0.9,$1.01,$2.14,$1.01,$1.62,$1.27,$1.27,$1.5,$1.33,$0.79,$1.60,$0.79,$1.7,$1.12,$1.46
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$2,$1.7,$1.2,$1.01,$1.62,$1.62,$1.27,$1.46,$1.9,$1.58,$1.33,$1.74,$1.62,$1.83,Not Available,$1.58,$1.38,$1.66,$1.54,$0.79,$1.38,Not Available,$1.66,$1.27,$1.66,Error,$1.83,$1.46,$1.60,$1.01,$2.30,$1.2,$1.58,$1.33,Error,$1.62,$1.5,$1.74,$1.77,$1.83,Not Available,$1.42,$1.54,$1.7,$1.46,$1.58,$1.46,$1.42,$1.5,$1.66,$1.58,$1.90,$1.77,$1.46,$1.62,$1.66,Not Available,$1.54,$0.80,$1.58,$1.54,$1.7,$2.50,$2.70,$3.20,$1.12,$1.54,$1.74,$1.5,$1.77,$1.95,$1.27,$2.57,$1.7,$1.74,$1.62,$1.62,$1.54,$1.42,$1.66,$1.12,$1.7,$1.62
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$2.70,$4.20,Not Available,$1.62,$1.9,$3.50,$1.98,$1.7,$1.88,$3.20,$5.70,$1.62,$1.7,$1.27,$1.9,$1.95,Not Available,$3.40,Not Available,$1.97,$1.77,Not Available,Not Available,$1.8,Error,$1.54,Not Available,$1.93,$1.98,$1.74,$2.07,$3.20,Not Available,Error,$1.62,$1.86,$1.9,$1.77,$2.60,$7.40,$2.06,$2.01,$1.74,$1.9,$1.62,$2.53,$3.30,$1.92,$1.46,$3.30,$1.46,$1.74,$4.40,$1.86,$1.62,$1.62,$1.97,$5.70,$1.95,$1.86,$1.99,$1.62,$1.83,$1.42,$1.97,$1.9,$1.77,$1.92,$1.74,$1.46,$1.95,$1.38,$1.46,$5.70,Not Available,$1.94,$1.92,$2,$1.88,$1.60,$1.92,$1.95
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$2.60,$1.8,$0.79,Error,$0.00,$1.46,$1.2,$1.2,$0.79,$1.38,$0.79,$0.79,$1.27,$1.62,$0.9,$1.27,$0.9,$1.33,$1.60,$1.33,$1.58,Not Available,$3.00,$1.01,Error,$1.38,$1.33,$0.80,$1.46,$1.5,$1.88,$1.2,Not Available,Error,$0.9,$0.79,$1.5,$1.27,$0.79,$1.12,$1.88,$1.33,$1.2,$1.01,$0.9,$1.01,$1.33,$0.9,Error,$0.79,$1.27,$1.86,$1.27,$3.30,$1.2,$0.9,Not Available,$1.01,$0.79,$0.9,$0.79,Not Available,$1.7,$1.33,$3.20,$1.38,$0.79,$1.12,$1.2,$1.33,$1.7,$1.33,$1.54,$0.79,$0.00,$1.12,$0.79,$1.33,$1.60,$1.2,$1.60,$1.5,$1.74
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.27,$2.4,Not Available,$1.27,$1.46,Not Available,$2.37,$1.33,$2.50,$2.4,$2.5,$2.6,$1.7,$1.54,$1.62,$1.90,$1.27,$1.42,$2.52,$1.38,$0.80,$3.00,Error,$2.52,$1.2,Not Available,$1.38,$2.48,$1.66,$2.60,$0.79,Error,Not Available,$2.37,$2.4,$2.43,$2.50,$2.50,$1.62,$2.34,Not Available,$2.30,$2.40,$2.3,$1.27,$2.3,Not Available,$1.46,$2.63,$3.40,$0.9,$2.37,$2.43,Not Available,$1.5,$2.40,$1.54,$2.37,$1.92,Not Available,$2.43,$4.40,$1.38,$2.34,Not Available,$1.74,$2.43,$2.58,$1.46,$2.56,$2.00,$2.50,$1.54,$1.58,$2.3,$1.66,$2.4,$1.42,Not Available,Not Available
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.77,$1.77,$1.46,$1.74,$1.9,$1.74,$1.54,$0.80,$1.77,$1.9,$3.20,$1.8,$1.66,$1.9,$1.66,$1.12,$1.7,$1.92,$1.66,$1.33,$1.86,Error,$1.93,$1.62,Not Available,$1.38,$1.88,$1.33,$1.77,$1.38,Error,$1.83,$1.7,$1.83,$1.88,Not Available,Not Available,$1.46,$1.74,$1.88,$1.62,$1.8,$1.74,$1.58,$1.66,$1.8,$1.74,$2.05,$1.88,$1.54,$1.77,$0.80,$2,$1.77,$0.80,$1.8,$1.7,$1.8,$1.99,$1.86,$1.99,$1.42,$1.7,$1.88,$1.58,$1.83,$3.10,$1.66,Not Available,$0.80,$1.8,$1.8,$1.8,$1.66,$1.54,$1.8,$0.80,$1.88,$1.7
