"","mrt","string","lon","lat"
"91","Tan Kah Kee, MRT","Tan Kah Kee, MRT",103.8077988,1.3253631
"92","Tanah Merah, MRT","Tanah Merah, MRT",103.9465415,1.3272329
"93","Tanjong Pagar, MRT","Tanjong Pagar, MRT",103.8468585,1.2764031
"94","Telok Ayer, MRT","Telok Ayer, MRT",103.8483128,1.2822806
"95","Telok Blangah, MRT","Telok Blangah, MRT",103.8098756,1.2706894
"96","Tiong Bahru, MRT","Tiong Bahru, MRT",103.8270343,1.2862197
"97","Toa Payoh, MRT","Toa Payoh, MRT",103.8465193,1.3333083
"98","Woodlands, MRT","Woodlands, MRT",103.7864925,1.436963
"99","Woodleigh, MRT","Woodleigh, MRT",103.870748,1.3392155
"100","Yew Tee, MRT","Yew Tee, MRT",103.7475,1.3973811
"101","Yio Chu Kang, MRT","Yio Chu Kang, MRT",103.8448008,1.3817576
"102","Yishun, MRT","Yishun, MRT",103.8350278,1.4293199
