'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Chinese Garden MRT Station', 'Ang Mo Kio MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Serangoon MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Somerset MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Jurong East MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Yew Tee MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yio Chu Kang MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station'
'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station'
'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Somerset MRT Station'
'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Yew Tee MRT Station'
'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Pioneer MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Woodlands MRT Station', 'Pioneer MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Woodlands MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station'
'Woodlands MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station', 'Somerset MRT Station'
'Woodlands MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station', 'Yew Tee MRT Station'
'Woodlands MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Chinese Garden MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Beauty World MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Serangoon MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Somerset MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Jurong East MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Yew Tee MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station', 'Yew Tee MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station', 'Marymount MRT Station'
'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Serangoon MRT Station', 'Marymount MRT Station'
