Score,Route Travel Time,Number of pax served,Route,,,,
1.26,36,43, Beauty World MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.26,36,43,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station
1.256666667,35,42, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.256666667,35,42, Beauty World MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.256666667,35,42, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Somerset MRT Station, Toa Payoh MRT Station
1.256666667,41,47, Bukit Panjang MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station
1.256666667,41,47, Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.256666667,29,37, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.253333333,34,41, Somerset MRT Station, Toa Payoh MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.253333333,40,46, Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.253333333,40,46, Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.253333333,40,46, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
