Score,Route Travel Time,Number of pax served,Route,,,,
1.116666667,47,45, Pioneer MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.113333333,40,39, Chinese Garden MRT Station, Clementi MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station
1.113333333,40,39, Jurong East MRT Station, Clementi MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.113333333,40,39, Chinese Garden MRT Station, Clementi MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.113333333,40,39, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Marymount MRT Station
1.113333333,40,39, Jurong East MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.113333333,40,39, Yew Tee MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station
1.113333333,40,39, Chinese Garden MRT Station, Toa Payoh MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.113333333,40,39, Jurong East MRT Station, Toa Payoh MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.113333333,46,44,Clementi MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station
1.113333333,46,44, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Somerset MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.113333333,46,44, Chinese Garden MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.113333333,46,44, Beauty World MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.113333333,46,44, Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.113333333,46,44, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.113333333,46,44, Jurong East MRT Station, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.113333333,46,44, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station
1.113333333,46,44, Pioneer MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.113333333,46,44,Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Somerset MRT Station
1.113333333,46,44, Yew Tee MRT Station,  Somerset MRT Station, Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.11,39,38, Jurong East MRT Station, Clementi MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.11,39,38, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.11,39,38, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.11,39,38, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.11,39,38, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Marymount MRT Station
1.11,39,38, Chinese Garden MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.11,39,38, Jurong East MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.11,39,38, Jurong East MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.11,45,43, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Somerset MRT Station
1.11,45,43, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.11,45,43, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.11,45,43, Pioneer MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.11,45,43, Yew Tee MRT Station, Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.11,45,43, Pioneer MRT Station, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.106666667,38,37, Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,
1.106666667,38,37,Clementi MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station
1.106666667,38,37, Jurong East MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.106666667,44,42, Pioneer MRT Station, Clementi MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.106666667,44,42,Clementi MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.106666667,44,42, Beauty World MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.106666667,44,42, Jurong East MRT Station,  Bukit Panjang MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.106666667,44,42, Pioneer MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.106666667,44,42, Yew Tee MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.106666667,44,42,Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Serangoon MRT Station,  Somerset MRT Station
1.106666667,44,42,Chinese Garden MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.106666667,44,42, Jurong East MRT Station,  Somerset MRT Station, Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.103333333,37,36, Bukit Panjang MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,
1.103333333,37,36, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,
1.103333333,37,36,Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,
1.103333333,37,36,Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station,
1.103333333,37,36, Woodlands MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.103333333,37,36, Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.103333333,43,41, Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Somerset MRT Station
1.103333333,43,41, Choa Chu Kang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.103333333,43,41, Yew Tee MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.103333333,43,41, Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station,  Serangoon MRT Station
1.103333333,43,41, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station
1.103333333,43,41,Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Toa Payoh MRT Station
1.103333333,43,41, Yew Tee MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station
1.103333333,43,41,Pioneer MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.103333333,43,41,Pioneer MRT Station,  Chinese Garden MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.103333333,43,41, Jurong East MRT Station,  Beauty World MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.103333333,49,46, Pioneer MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.103333333,49,46,Woodlands MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.1,36,35,Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,
1.1,36,35,Chinese Garden MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,
1.1,36,35, Beauty World MRT Station, Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station,
1.1,36,35, Jurong East MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,
1.1,42,40,Clementi MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Serangoon MRT Station
1.1,42,40, Bukit Panjang MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.1,42,40, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station
1.1,42,40, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.1,42,40, Choa Chu Kang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40, Pioneer MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40, Chinese Garden MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40, Yew Tee MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40,Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.1,42,40, Yew Tee MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.1,42,40,Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40,Pioneer MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40, Chinese Garden MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.1,42,40, Jurong East MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.1,42,40, Beauty World MRT Station,  Somerset MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.1,42,40,Chinese Garden MRT Station,  Beauty World MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.1,48,45, Bukit Panjang MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Somerset MRT Station
1.1,48,45, Pioneer MRT Station,  Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station
1.1,48,45, Beauty World MRT Station,  Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station
1.1,48,45, Pioneer MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.096666667,41,39,Bukit Panjang MRT Station,  Beauty World MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,
1.096666667,41,39,Clementi MRT Station,  Somerset MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.096666667,41,39, Chinese Garden MRT Station, Clementi MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.096666667,41,39, Choa Chu Kang MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Marymount MRT Station
1.096666667,41,39, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Somerset MRT Station
1.096666667,41,39, Bukit Panjang MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.096666667,41,39, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.096666667,47,44,Clementi MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.096666667,47,44, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Somerset MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.096666667,47,44, Jurong East MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.096666667,47,44, Pioneer MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.096666667,47,44, Pioneer MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.096666667,47,44, Pioneer MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.096666667,47,44, Pioneer MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.096666667,47,44, Yew Tee MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.096666667,47,44,Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.096666667,47,44, Chinese Garden MRT Station, Bukit Panjang MRT Station,  Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.096666667,47,44, Yew Tee MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station
1.093333333,40,38, Bukit Panjang MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,
1.093333333,40,38, Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station,
1.093333333,40,38,Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,
1.093333333,40,38, Jurong East MRT Station, Clementi MRT Station,  Beauty World MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station
1.093333333,40,38, Chinese Garden MRT Station, Clementi MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.093333333,40,38, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station
1.093333333,40,38, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.093333333,40,38, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.093333333,40,38, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.093333333,40,38, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Serangoon MRT Station
1.093333333,40,38, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Somerset MRT Station
1.093333333,40,38,Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.093333333,40,38, Yew Tee MRT Station, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station
1.093333333,40,38, Chinese Garden MRT Station,  Beauty World MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.093333333,46,43,Clementi MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Bishan MRT Station
1.093333333,46,43,Clementi MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.093333333,46,43,Clementi MRT Station,  Beauty World MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.093333333,46,43,Clementi MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.093333333,46,43, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Somerset MRT Station
1.093333333,46,43,Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.093333333,46,43, Yew Tee MRT Station, Bukit Panjang MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.093333333,46,43, Yew Tee MRT Station, Bukit Panjang MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.093333333,46,43,Choa Chu Kang MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.093333333,46,43,Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,  Toa Payoh MRT Station
1.093333333,46,43,Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Beauty World MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.093333333,46,43, Yew Tee MRT Station,  Beauty World MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.09,39,37, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,
1.09,39,37, Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,
1.09,39,37, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,
1.09,39,37, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Ang Mo Kio MRT Station,
1.09,39,37,Bukit Panjang MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,
1.09,39,37,Clementi MRT Station,  Beauty World MRT Station,  Bishan MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.09,39,37, Chinese Garden MRT Station,  Jurong East MRT Station, Clementi MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.09,39,37, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.09,39,37, Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.09,39,37, Bukit Panjang MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.09,39,37, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.09,39,37, Chinese Garden MRT Station,  Jurong East MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.09,39,37, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.09,39,37, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Serangoon MRT Station
1.09,39,37, Beauty World MRT Station, Toa Payoh MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.09,45,42,Clementi MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.09,45,42,Clementi MRT Station,  Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.09,45,42,Clementi MRT Station,  Jurong East MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.09,45,42, Bukit Panjang MRT Station,  Jurong East MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.09,45,42, Choa Chu Kang MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.09,45,42, Pioneer MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.09,45,42, Yew Tee MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.09,45,42, Yew Tee MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Serangoon MRT Station
1.09,45,42,Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station
1.09,45,42,Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.086666667,38,36, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,
1.086666667,38,36, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Toa Payoh MRT Station,
1.086666667,38,36, Beauty World MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.086666667,44,41, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station
1.086666667,44,41, Woodlands MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.086666667,44,41, Yew Tee MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.086666667,44,41, Chinese Garden MRT Station,  Bukit Panjang MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.086666667,44,41, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station
1.086666667,44,41, Choa Chu Kang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station
1.086666667,44,41,Woodlands MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Somerset MRT Station,  Toa Payoh MRT Station
1.086666667,44,41, Chinese Garden MRT Station, Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.086666667,44,41, Yew Tee MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station
1.086666667,44,41,Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station
1.086666667,44,41,Pioneer MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.086666667,50,46,Clementi MRT Station,  Bukit Panjang MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.083333333,37,35, Choa Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,
1.083333333,37,35, Yew Tee MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,
1.083333333,37,35,Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,
1.083333333,37,35, Yew Tee MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,
1.083333333,37,35, Beauty World MRT Station,  Somerset MRT Station, Ang Mo Kio MRT Station,  Marymount MRT Station,
1.083333333,49,45,Clementi MRT Station,  Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Bishan MRT Station
1.083333333,49,45,Clementi MRT Station,  Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.083333333,49,45, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.083333333,49,45, Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,  Toa Payoh MRT Station
1.083333333,49,45, Pioneer MRT Station,  Yew Tee MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.083333333,43,40, Pioneer MRT Station, Clementi MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station
1.083333333,43,40,Clementi MRT Station,  Beauty World MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.083333333,43,40, Pioneer MRT Station, Clementi MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.083333333,43,40,Clementi MRT Station,  Beauty World MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.083333333,43,40, Bukit Panjang MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station
1.083333333,43,40, Choa Chu Kang MRT Station,  Yew Tee MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.083333333,43,40, Chinese Garden MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.083333333,43,40, Jurong East MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
