Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$0.79,$1.46,$1.33,$1.01,$0.79,$1.38,$0.79,$0.79,$1.2,$1.58,$0.79,$1.27,$1.12,$1.42,$1.58,$1.27,$1.50,Not Available,$1.7,$0.79,Error,$1.33,$1.38,$0.80,$1.46,$1.46,$1.83,$1.33,Not Available,Error,$0.79,$0.79,$1.33,$1.2,$0.9,$1.12,$1.88,$1.27,$1.01,$1.01,$0.79,$1.12,$1.46,$0.80,$0.9,$1.33,$2.5,$1.12,$2.55,$1.01,$0.79,Not Available,$1.2,$0.79,$1.01,$0.79,$0.80,Not Available,$1.27,$2.40,$1.38,$0.79,$0.79,$0.80,$1.27,$2.37,$1.33,$1.46,$0.79,$0.79,$1.27,$0.9,$1.2,Not Available,$1.12,Not Available,$1.42,$1.8
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.46,$1.27,$1.2,$0.79,$1.42,$0.79,$0.79,$1.27,$1.58,$0.9,$1.27,$1.01,$1.38,$1.62,$1.33,$1.54,Not Available,$1.66,$0.9,Error,$1.33,$1.33,$1.66,$1.5,$1.46,$1.88,$1.27,Not Available,Error,$0.79,$0.79,$1.5,$1.2,$0.80,$1.01,$1.88,$1.33,$1.12,$1.01,$0.79,$1.01,$1.38,$0.9,$0.79,$1.27,$1.86,$1.2,Not Available,$1.12,$0.79,Not Available,$1.12,$0.79,$0.9,$0.79,Not Available,$1.7,$1.27,$1.66,$1.46,$0.79,$1.01,$1.2,$1.27,$1.7,$1.38,$1.5,$0.79,$0.79,$1.12,$0.9,$1.2,$1.60,$1.2,$1.60,$1.46,$1.7
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.01,$1.66,$1.42,$0.79,$0.79,$1.46,$2.46,Not Available,$1.54,$1.2,$1.38,$1.12,$1.2,$0.9,$1.88,$1.62,$0.9,$1.54,Error,$2.46,$1.01,Not Available,$1.01,Not Available,$1.77,$1.27,$1.33,Error,$1.5,$1.5,$1.74,$1.74,$0.79,$0.9,$1.7,$1.54,$1.66,$1.38,$1.54,$2.18,$1.01,$1.33,$1.42,$1.27,$4.60,$1.7,$1.42,$1.62,$1.5,Not Available,$1.2,$0.79,$1.27,$1.5,$2.40,$1.9,$4.00,Not Available,$1.2,$1.38,$1.58,$1.38,$4.00,$2.57,$1.27,$2.55,$0.79,$0.79,$1.33,$1.38,$1.5,$1.77,$1.74,$1.54,$1.74,$1.88
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.7,$1.27,$0.79,$1.33,$1.33,$1.74,$2.80,$1.42,$0.79,$1.2,$1.2,$1.38,$0.79,$1.66,$1.83,$1.42,$1.42,Error,$1.7,$0.79,$1.7,$1.12,$1.58,$1.7,$1.01,$1.46,Error,$1.38,$1.38,$1.58,$1.62,$1.33,$1.42,$1.86,$1.27,$1.5,$1.12,$1.46,$1.33,$0.79,$1.01,$1.2,$1.01,$3.20,$1.74,$1.66,$1.5,$1.38,Not Available,$0.79,$1.33,$0.79,$1.38,Not Available,Not Available,$1.5,Not Available,$1.01,$1.2,$1.5,$1.01,$1.62,$2.90,$0.9,Not Available,$1.27,$1.33,$1.01,$1.01,$1.27,$1.9,$1.46,$1.60,Not Available,$1.74
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.12,$2.50,$1.12,$1.01,$0.79,$1.38,$1.12,$1.58,$1.46,$1.66,$2.00,$1.54,$1.42,Not Available,$1.86,$0.79,Error,$0.9,$1.7,$1.90,$1.66,$1.38,$1.96,$1.58,Not Available,Error,$0.9,$1.27,$1.38,$0.9,$1.2,$1.38,$1.94,$1.46,Error,$0.79,$1.38,$0.9,$1.33,$1.62,$1.27,$1.27,$1.62,$1.58,$0.79,$3.70,$1.12,$0.9,Not Available,$1.54,$1.12,$1.42,$1.01,Not Available,$2.30,$1.27,$2.20,$1.58,$1.2,$0.79,$2.20,$1.01,$1.58,$1.54,$1.42,$1.2,$1.12,$1.5,$1.46,$1.27,$2.00,$1.2,Not Available,$1.90,Not Available
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$0.79,$1.38,$2.52,Not Available,$1.46,$1.12,$1.33,$1.80,$1.27,$0.79,$1.8,$1.7,$1.12,$1.5,Error,$2.5,$0.79,Not Available,$1.01,Not Available,$1.77,$1.2,$1.42,Error,$1.46,$1.42,$1.7,$1.66,$0.79,$1.12,$1.7,$1.54,$1.58,$1.27,$1.46,$1.38,$0.79,$1.27,$1.33,$2.00,$4.10,$1.66,$1.5,$1.54,$1.42,Not Available,$0.9,$0.79,$1.2,$1.42,$2.30,Not Available,$1.74,Not Available,$1.12,$1.27,$1.5,$1.27,$2.80,$2.55,$1.27,$2.57,$0.79,$0.79,$1.2,$1.27,$1.54,$1.77,$1.66,$1.7,$1.7,$1.60
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$0.79,$1.54,Not Available,$1.01,$1.42,$1.01,$1.38,Not Available,$1.38,$1.60,Not Available,$2.20,$1.01,Error,$2.30,$1.42,Not Available,$1.54,$1.5,Not Available,$1.2,Not Available,Error,$0.90,$0.9,$1.46,$1.20,$0.00,$0.9,Not Available,$1.42,$1.12,$1.12,Not Available,$1.10,$1.40,$0.80,$0.79,$1.27,Not Available,$1.2,$2.50,$1.33,$0.80,Not Available,$1.12,Error,$0.00,$0.90,$0.9,Not Available,Not Available,$1.42,Not Available,$1.5,$0.9,$1.01,$0.80,$1.33,$1.77,$1.70,$1.60,$0.79,Error,$0.00,$1.12,$1.01,$1.33,Not Available,$1.38,Not Available,$1.80,Not Available
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.27,$1.50,$0.9,$1.2,$1.12,$1.42,$0.80,$1.33,$1.5,Not Available,$2.37,$0.79,Error,$1.33,$1.42,$0.80,$1.46,$1.42,$1.86,$1.33,Not Available,Error,$0.79,$0.79,$1.42,$1.2,$0.79,$1.12,$1.9,$1.27,$1.01,$1.01,$0.79,$0.9,$1.5,$0.90,$0.9,$1.33,$2.5,$1.12,$2.55,$1.2,Error,$0.79,Not Available,$1.27,$0.79,$1.27,$0.79,$0.80,Not Available,$1.33,$2.40,$1.42,$0.80,$0.79,$1.2,$1.27,$2.37,$0.80,$1.50,Not Available,$0.79,$1.27,$1.12,$1.12,Not Available,$1.27,Not Available,$1.42,$1.66
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,$1.2,$1.2,$1.54,$1.54,$1.74,$1.60,$1.66,$1.27,Not Available,$1.96,$0.9,Error,$0.79,Not Available,$1.7,$1.62,$1.12,$1.95,$1.66,$2.53,Error,$1.01,$1.54,$1.27,$0.79,Not Available,Not Available,$1.93,$1.46,$0.9,$1.5,$1.01,$1.42,$2.40,$1.54,$1.33,$1.7,$1.46,$0.80,Not Available,$1.12,$2.80,$1.62,$1.54,$1.27,$1.46,$1.2,Not Available,$1.46,$1.90,$2.00,$1.58,$1.38,$0.9,$1.38,$0.9,$1.33,$1.5,$1.12,$1.58,$1.33,$1.62,$2.40,$1.98,$1.95,$1.2,$2.40,$2.40,$1.74
